Area,Tote Colour,Loop,Suffix,Number,Asset Code
Module Loop Blue,Blue,Module,C0901,ACH086,C0901ACH086
Module Loop Blue,Blue,Module,C0901,BCH009,C0901BCH009
Module Loop Blue,Blue,Module,C0901,BCH021,C0901BCH021
Module Loop Blue,Blue,Module,C0901,BCL008,C0901BCL008
Module Loop Blue,Blue,Module,C0901,RDC003,C0901RDC003
Module Loop Blue,Blue,Module,C0901,RDC004,C0901RDC004
Module Loop Blue,Blue,Module,C0901,RDC007,C0901RDC007
Module Loop Blue,Blue,Module,C0901,STA005,C0901STA005
Module Loop Blue,Blue,Module,C0902,ACH023,C0902ACH023
Module Loop Blue,Blue,Module,C0902,ACH025,C0902ACH025
Module Loop Blue,Blue,Module,C0902,ACH033,C0902ACH033
Module Loop Blue,Blue,Module,C0902,ACH043,C0902ACH043
Module Loop Blue,Blue,Module,C0902,ACL027,C0902ACL027
Module Loop Blue,Blue,Module,C0902,ACL028,C0902ACL028
Module Loop Blue,Blue,Module,C0902,ACL035,C0902ACL035
Module Loop Blue,Blue,Module,C0902,RDC036,C0902RDC036
Module Loop Blue,Blue,Module,C0902,RDC031,C0902RDC031
Module Loop Blue,Blue,Module,C0902,RDC029,C0902RDC029
Module Loop Blue,Blue,Module,C0902,RDC038,C0902RDC038
Module Loop Blue,Blue,Module,C0902,STA039,C0902STA039
Module Loop Blue,Blue,Module,C0902,RDC040,C0902RDC040
Module Loop Blue,Blue,Module,C0902,RDC042,C0902RDC042
Module Loop Blue,Blue,Module,C0902,ACL045,C0902ACL045
Module Loop Blue,Blue,Module,C0902,RDC046,C0902RDC046
Module Loop Blue,Blue,Module,C0902,RDC048,C0902RDC048
Module Loop Blue,Blue,Module,C0902,STA024,C0902STA024
Module Loop Blue,Blue,Module,C0902,STA026,C0902STA026
Module Loop Blue,Blue,Module,C0902,STA030,C0902STA030
Module Loop Blue,Blue,Module,C0902,STA032,C0902STA032
Module Loop Blue,Blue,Module,C0902,STA034,C0902STA034
Module Loop Blue,Blue,Module,C0902,STA049,C0902STA049
Module Loop Blue,Blue,Module,C0902,STA041,C0902STA041
Module Loop Blue,Blue,Module,C0902,STA044,C0902STA044
Module Loop Blue,Blue,Module,C0902,RDC050,C0902RDC050
Module Loop Blue,Blue,Module,C0902,STA051,C0902STA051
Module Loop Blue,Blue,Module,C0903,ACH186,C0903ACH186
Module Loop Blue,Blue,Module,C0903,BCH109,C0903BCH109
Module Loop Blue,Blue,Module,C0903,BCH121,C0903BCH121
Module Loop Blue,Blue,Module,C0903,BCL108,C0903BCL108
Module Loop Blue,Blue,Module,C0903,RDC010,C0903RDC010
Module Loop Blue,Blue,Module,C0903,RDC104,C0903RDC104
Module Loop Blue,Blue,Module,C0903,RDC107,C0903RDC107
Module Loop Blue,Blue,Module,C0903,RDC110,C0903RDC110
Module Loop Blue,Blue,Module,C0903,STA105,C0903STA105
Module Loop Blue,Blue,Module,C0904,ACH123,C0904ACH123
Module Loop Blue,Blue,Module,C0904,ACH125,C0904ACH125
